"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"WIDE an interactive Web integrated development environment to practice C programming in distance education","S. Mohammed; A. M. Abdelazziz","Department of Mathematics and Computer Science, University Mohamed I, Oujda, Morocco; Department of Mathematics and Computer Science, University Mohamed I, Oujda, Morocco",2013 1st International Conference of the Portuguese Society for Engineering Education (CISPEE),"9 Jan 2014","2013","","","1","6","To develop good programming skills in C language, novices students must provide a lot of efforts in order to acquire experience and techniques of writing computer programs, they need to spend a respectable period of time doing practical activities, to start beginners must install and use a compiler or integrated development environment, without any assistance they are usually face a number of obstacles associated with this step. This paper introduces an online Web-Lab based system that provides a web integrated development environment (WIDE) for students doing practical programming activities and assignment in a distance learning. The proposed system provides students an editor for writing, editing, updating, compiling and executing their programming code source in the Web. The system is also interactive by introducing tools such Chat-Room, E-Mail, and Forum among learners and instructors interact. The results of using WIDE are very encouraging for enhancing novices students programming skills by allowing them learning and practicing on the web, for instructors to use the recorded information to track the learner's progress.","","978-1-4799-1221-6","10.1109/CISPEE.2013.6701964","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6701964","Web-Lab based compiler;Interactive system;Online practice programming;C language web IDE","Programming profession;Computers;Education;Browsers;Java","","3","","18","IEEE","9 Jan 2014","","","IEEE","IEEE Conferences"
"A cloud-based integrated development environment for embedded systems","J. Hausladen; B. Pohn; M. Horauer","University of Applied Sciences Technikum Wien, Vienna, Austria; University of Applied Sciences Technikum Wien, Vienna, Austria; University of Applied Sciences Technikum Wien, Vienna, Austria",2014 IEEE/ASME 10th International Conference on Mechatronic and Embedded Systems and Applications (MESA),"27 Oct 2014","2014","","","1","5","Developing software for embedded systems may be a challenging task. Next to solid programming skills using the C language (and Assembly) elaborate know-how about the target controller and surrounding hardware is mandatory. Furthermore, setup of the required tooling (compiler infrastructure, debug interfaces, etc.) can be a cumbersome task, especially when supporting multiple different host operating systems. Especially for beginners, this tooling aspect can turn out as an intriguing problem. This paper presents a cloud based integrated development environment (Cloud IDE) for embedded systems based entirely on open-source solutions that has the potential to ease some of these burdens. In contrast to existing solutions it supports flashing and debugging of a target board attached to the local host computer whereas, the entire development takes place in a cloud environment.","","978-1-4799-2280-2","10.1109/MESA.2014.6935577","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6935577","Cloud IDE;embedded systems development;education;Node.js;PaaS","Servers;Hardware;Embedded systems;Debugging;Browsers;Libraries","","2","6","6","IEEE","27 Oct 2014","","","IEEE","IEEE Conferences"
"Adinda: a knowledgeable, browser-based IDE","A. van Deursen; A. Mesbah; B. Cornelissen; A. Zaidman; M. Pinzger; A. Guzzi","Delft University of Technology, Netherlands; Delft University of Technology, Netherlands; Software Improvement Group, Amsterdam, Netherlands; Delft University of Technology, Netherlands; Delft University of Technology, Netherlands; Delft University of Technology, Netherlands",2010 ACM/IEEE 32nd International Conference on Software Engineering,"27 Oct 2011","2010","2","","203","206","In practice, many people have to work together to develop and maintain a software system. However, the programmer's key tool, the Integrated Development Environment (IDE), is a solo-tool, serving to help individual programmers understand and modify the system. Such an IDE does not leverage the knowledge other team members may have of the design and implementation of the system. We propose to resolve this problem by exploring, experimentally, new ways of inferring knowledge from past IDE-interactions, and of maximizing collaboration among developers. Our approach, called Adinda, revolves around transforming the IDE into a set of integrated services, accessible via a web browser, and enriched with Web 2.0 technologies. Such services will not only help developers perform traditional IDE tasks, but also facilitate the required informal communication and collaboration needs of software development projects. In this paper, we report on our vision, approach and challenges for building Adinda, and initial results.","1558-1225","978-1-60558-719-6","10.1145/1810295.1810330","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062160","IDE;Web 2.0;collaboration;interaction mining;programming environments","Programming;Servers;Software;Data mining;Collaboration;Browsers","","7","","18","","27 Oct 2011","","","IEEE","IEEE Conferences"
"Exploration on Integrated Development Environment of Trusted Data Processing Oriented Software Product Line for WEB Application","H. Huang; X. Zhang; L. Zheng; S. Zhao","School of Information Science & Engineering, Lanzhou University, Lanzhou, Gansu, China; Computer and Information Management Center, Tsinghua University, Beijing, China; Computer Science and Technology, Tsinghua University, Beijing, China; School of Information Science & Engineering, Lanzhou University, Lanzhou, Gansu, China",2010 7th International Conference on Ubiquitous Intelligence & Computing and 7th International Conference on Autonomic & Trusted Computing,"13 Dec 2010","2010","","","478","480","The focus of this paper is on Data Processing-Oriented Software Product Line (DPOSPL) and trusted software technology and theory, among which evidence-based trustworthy software guarantee mechanism, and develop an integrated environment for web application of DPOSPL - -DPOWSPL IDE. To ensure that this IDE be highly trustworthy, as defined in literature, it uses evidence-based software evaluation to guarantee its system trustworthiness. Finally, a concrete application of this IDE is presented.","","978-1-4244-9043-1","10.1109/UIC-ATC.2010.64","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5667119","trustworthy software;software product line;domain engineering;integrated develop environment","Software;Data processing;Data models;Production;Space technology;Information science;Architecture description languages","","","","3","IEEE","13 Dec 2010","","","IEEE","IEEE Conferences"
"An integrated development environment to establish web services in grid computing Using .NET framework 4.5 and Visual Basic 2012","C. Vijayalakshmi","Department of Computer Science & Engineering, Jubail University College, Dammam, Saudi Arabia",2013 World Congress on Computer and Information Technology (WCCIT),"3 Oct 2013","2013","","","1","8","The World Wide Web has become pervasive in many facets of our professional and personal lives over a decade. Today, another Internet revolution is emerging: Grid computing. While Web offers easy access to mostly static information via Hypertext, the Grid adds another fundamental layer to the Internet, by enabling direct access to and use of underlying resources, such as computers, storage, scientific instruments and experiments, sensors, applications, data and middleware services. This paper presents readers both a concrete introduction and a handy reference to web services in grid computing, first by explaining the foundations of this new breed of distributed services, and then by demonstrating quick ways to create services with .NET framework 4.5 and Visual Studio 2012 tools. Hence in this article, you will learn the concepts of the web services in grid computing and get practical advice on building and deploying web services using Visual Basic 2012.","","978-1-4799-0462-4","10.1109/WCCIT.2013.6618661","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6618661",".NET 4.5 Web services;Web services using Visual Basic 2012;Grid computing;Web services in .NET","Service-oriented architecture;Simple object access protocol;Business;Standards;Visualization","","","2","5","IEEE","3 Oct 2013","","","IEEE","IEEE Conferences"
"An Integrated Development Environment for Synthesising Web Services","D. Adamopoulos","Department of Technology Education & Digital Systems, University of Piraeus, Greece",2008 IEEE International Conference on e-Business Engineering,"2 Dec 2008","2008","","","776","779","Web services are emerging technologies that can be considered as the result of the continuous improvement of Internet services due to the tremendous increase in demand that is being placed on them. In this paper, the different facets of Web services are identified and a flexible approach to engineering complex Web services is adopted in the form of a proposed framework for the development of Web services. After the examination of its main constituent parts, it is argued that its full potential and that of Web service engineering in general, is realized through the gradual formation of a rich service grid offering value-added supporting functionality and therefore the main desirable properties of such a service grid are highlighted. Finally, the paper outlines a validation approach for the proposed framework and assembles important pointers for future work and concluding remarks.","","978-0-7695-3395-7","10.1109/ICEBE.2008.34","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4690703","Web services;Web service engineering;Internet middleware;service grids","Web services;Access protocols;Web and internet services;Distributed computing;Maintenance engineering;Educational technology;Design engineering;Continuing education;Systems engineering education;Digital systems","","","","8","IEEE","2 Dec 2008","","","IEEE","IEEE Conferences"
"TWUI-an extended interaction model based rapid web UI development tool","Tan Hongyang; Hong Wenpei; Jin Sheng; Xia Ziqian","School of Economics and Management, Beijing Forestry University, Beijing, China; Graduate School of Beijing, Beijing Forestry University, Beijing, China; School of Economics and Management, Beijing Forestry University, Beijing, China; School of Economics and Management, Beijing Forestry University, Beijing, China",2010 3rd International Conference on Advanced Computer Theory and Engineering(ICACTE),"20 Sep 2010","2010","4","","V4-147","V4-149","The more efficient way of developing the application software is to use general tools. This article is to introduce a rapid Web user interface development tool-TWUI which is based on the extended interaction model.","2154-7505","978-1-4244-6542-2","10.1109/ICACTE.2010.5579684","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5579684","Extended Interaction Model;Rapid Web UI Development Tool;Web-based Interaction Model","Educational institutions;Electronic mail","","","","8","IEEE","20 Sep 2010","","","IEEE","IEEE Conferences"
"Customizable online application development environment and online marketplace system","B. -T. Oh; S. -I. Jun; S. -J. Hur","ETRI(Electronics and Telecommunications Research Institute), South Korea; ETRI(Electronics and Telecommunications Research Institute), South Korea; ETRI(Electronics and Telecommunications Research Institute), South Korea",2012 14th International Conference on Advanced Communication Technology (ICACT),"3 Apr 2012","2012","","","1220","1225","In this paper, we present a customizable online application development environment and an online marketplace system. We applied development resource virtualization technology in order to support multiple developers who create application with an each customized development environment.","1738-9445","978-89-5519-163-9","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6174882","Online Development Environment;Multi-tenant;SaaS;Software-as-a service;Online Configuration","Generators;Collaboration;Decoding;Licenses;Reliability;Web services","","","","11","","3 Apr 2012","","","IEEE","IEEE Conferences"
"Beyond Open Source: The Touch Develop Cloud-Based Integrated Development Environment","T. Ball; S. Burckhardt; J. de Halleux; M. Moskal; J. Protzenko; N. Tillmann","Microsoft Research One Microsoft Way, Redmond, WA, USA; Microsoft Research One Microsoft Way, Redmond, WA, USA; Microsoft Research One Microsoft Way, Redmond, WA, USA; Microsoft Research One Microsoft Way, Redmond, WA, USA; Microsoft Research One Microsoft Way, Redmond, WA, USA; Microsoft Research One Microsoft Way, Redmond, WA, USA",2015 2nd ACM International Conference on Mobile Software Engineering and Systems,"1 Oct 2015","2015","","","83","93","Software engineering tools and environments are migrating to the cloud, enabling more people to participate in programming from many more devices. To study this phenomenon in detail, we designed, implemented and deployed Touch Develop (url www.touchdevelop.com), a cloud-based integrated development environment (CIDE), which has been online for the past three years. Touch Develop combines a cross-platform browser-based IDE for the creation of mobile cloud apps, an online programmer/user community, and an app store. A central feature of Touch Develop is to track all program edits, versions, runtime information, bugs, as well user comments, questions and feedback in a single cloud-based repository that is available publicly via Web APIs. In this paper, we examine a key feature of Touch Develop that should be relevant to others creating CIDEs, namely the seamless integration of replicated workspaces, simplified version control and app publishing. An analysis of the Touch Develop repository shows that this combination of capabilities allows users to easily create new versions of apps from existing apps, make changes to other users' apps, and share their results from a variety of devices, including smartphones, tablets and traditional PCs.","","978-0-7695-5566-9","10.1109/MobileSoft.2015.20","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7283033","","Libraries;Keyboards;Mobile communication;Control systems;Computer crashes;History;Context","","5","1","20","IEEE","1 Oct 2015","","","IEEE","IEEE Conferences"
"Evaluation of a Web-Based Programming Environment","H. Yanagisawa","Department of Computer Science and Electronic Engineering, Tokuyama College of Technology, Shunan, Yamaguchi, Japan",2012 15th International Conference on Network-Based Information Systems,"20 Nov 2012","2012","","","633","638","On most PaaS (Platform as a Service) systems, applications that are developed on a server are executed on the same server. As such, portability of these applications is not considered as is the case with a WebOS. This paper proposes a Web-based Software Development Environment (WSDE) for developing applications. The WSDE provides a web-based development environment for software applications that can be executed on a server, local and/or embedded machine. Thus, it is unnecessary for each developer to install software for developing applications on the local system or to set the environment variables of the local system. With the WSDE, developers can use the same environment via a Web browser anytime, anywhere. Moreover, this paper proposes a renewable system for embedded systems. To develop application programs for embedded systems, application developers have to prepare a software development environment for each target embedded system. The WSDE allows software developers to develop software applications on a server using a virtual machine.","2157-0426","978-1-4673-2331-4","10.1109/NBiS.2012.67","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6354897","Cloud Computing;PaaS (Platform as a Service);WebOS;SDE (Server-side Development Environment);VM (Virtual Machine)","Servers;Browsers;Graphical user interfaces;Java;Cloud computing","","5","1","13","IEEE","20 Nov 2012","","","IEEE","IEEE Conferences"
